TCSC,MAV,STE,MEA,shannon_git,sample_git,power_git,energy_git,skewness,kurtosis,std_dev,rhythm
9,0.18,1784.949,1517.668,4.21,0.239,0.017442,216.477752,-0.3057,2.3686,0.4212,0
13,0.174,1726.724,1469.379,4.484,0.258,0.014426,191.319117,-0.4627,2.5649,0.3975,0
9,0.183,1782.132,1525.469,4.48,0.235,0.015423,210.116643,-0.4325,2.53,0.4135,0
10,0.211,1797.838,1537.549,4.591,0.317,0.019865,233.388661,-0.4384,2.5173,0.4422,0
8,0.193,1732.047,1480.899,4.685,0.334,0.019265,233.111468,-0.363,2.524,0.4393,0
6,0.209,1818.766,1535.021,4.722,0.344,0.012803,206.593316,-0.4392,2.6148,0.4182,0
9,0.204,1776.759,1513.154,4.789,0.336,0.019251,243.243352,-0.5416,2.6017,0.4537,0
4,0.189,1696.159,1457.423,4.744,0.337,0.011076,177.697176,-0.4917,2.6946,0.3862,0
7,0.198,1832.831,1557.366,4.678,0.335,0.01541,210.432611,-0.3627,2.4289,0.4229,0
9,0.198,1788.894,1521.573,4.87,0.362,0.020134,232.506122,-0.5043,2.6885,0.444,0
8,0.194,1708.324,1461.868,4.922,0.354,0.018751,242.475015,-0.4826,2.6692,0.4498,0
18,0.189,1774.583,1505.574,4.82,0.342,0.018394,229.441296,-0.5258,2.6661,0.4362,0
10,0.178,1790.1,1530.633,4.495,0.313,0.01411,187.12344,-0.4006,2.3405,0.3934,0
11,0.186,1778.773,1513.144,4.755,0.361,0.019838,218.037426,-0.5214,2.6334,0.4251,0
12,0.186,1779.512,1523.303,4.888,0.347,0.012962,219.799187,-0.5525,2.7583,0.427,0
9,0.187,1766.165,1493.55,4.569,0.34,0.010309,193.942239,-0.5448,2.5805,0.4005,0
5,0.193,1820.299,1539.402,4.674,0.345,0.010588,170.078861,-0.5495,2.8172,0.3786,0
6,0.206,1870.477,1587.487,5.221,0.323,0.012447,211.876586,-0.4666,2.726,0.4275,0
9,0.203,1778.333,1501.017,4.691,0.32,0.018971,246.38334,-0.3438,2.49,0.4534,0
11,0.19,1791.744,1527.463,4.5,0.306,0.018996,232.52518,-0.3608,2.3845,0.4421,0
9,0.176,1767.512,1511.801,4.717,0.349,0.018127,208.067775,-0.4846,2.643,0.4165,0
9,0.19,1782.034,1512.529,4.919,0.358,0.020321,247.596243,-0.51,2.6312,0.4519,0
12,0.166,1773.243,1507.487,4.597,0.358,0.010762,172.632281,-0.4381,2.4849,0.3802,0
8,0.17,1761.612,1500.512,4.727,0.347,0.01415,196.179603,-0.5086,2.5668,0.4021,0
6,0.219,1783.012,1511.133,5.141,0.378,0.021405,249.997103,-0.5485,2.8404,0.4579,0
11,0.175,1740.649,1484.506,4.678,0.372,0.011859,180.073176,-0.4997,2.6924,0.3923,0
9,0.181,1704.097,1465.152,4.824,0.353,0.014725,213.108607,-0.5819,2.7395,0.4238,0
7,0.196,1738.096,1491.754,4.953,0.36,0.01816,223.221276,-0.5764,2.8527,0.4358,0
9,0.171,1783.933,1524.293,5.087,0.375,0.009284,174.046205,-0.5144,2.8644,0.3813,0
8,0.181,1730.056,1479.293,4.791,0.333,0.015415,215.773335,-0.453,2.7209,0.4265,0
7,0.209,1796.037,1522.199,4.712,0.366,0.01873,236.311458,-0.48,2.4676,0.4448,0
10,0.171,1710.315,1472.267,5.066,0.38,0.010489,185.72716,-0.567,2.7585,0.3951,0
11,0.265,1855.524,1552.309,5.103,0.408,0.070771,385.777788,-0.2103,2.1017,0.5703,0
11,0.277,1932.969,1623.775,4.932,0.411,0.05653,409.728906,-0.1378,2.0041,0.5839,1
17,0.377,2175.664,1817.015,4.11,0.362,0.376782,782.147791,0.1405,1.495,0.8051,1
10,0.229,1829.109,1545.061,4.733,0.335,0.028553,301.779113,-0.1827,2.2065,0.4988,0
3,0.243,1853.23,1561.648,4.582,0.36,0.023325,245.492557,-0.3582,2.4942,0.452,0
13,0.179,1758.967,1504.026,4.813,0.367,0.014003,222.185644,-0.4798,2.5061,0.4282,0
9,0.238,1757.96,1505.863,4.676,0.351,0.050185,366.758899,-0.2207,2.4823,0.5578,0
7,0.205,1763.184,1499.672,4.776,0.372,0.014123,209.531497,-0.4957,2.4662,0.4164,0
9,0.243,1804.376,1529.461,5.428,0.37,0.042389,350.979741,-0.3692,2.4259,0.5453,0
6,0.221,1797.002,1526.96,4.756,0.384,0.023058,254.817433,-0.4553,2.5922,0.458,0
8,0.239,1842.705,1569.028,5.12,0.406,0.043567,334.952949,-0.2289,2.367,0.5294,0
7,0.243,1815.635,1557.993,5.111,0.382,0.032474,318.306373,-0.3376,2.402,0.5167,0
6,0.258,1823.512,1547.869,5.05,0.386,0.048052,363.285861,-0.1973,2.3164,0.5491,0
6,0.252,1780.095,1498.181,4.939,0.361,0.021019,257.424056,-0.5433,2.6171,0.4655,0
6,0.217,1800.14,1528.385,4.806,0.363,0.016208,208.285208,-0.4215,2.562,0.4165,0
8,0.212,1724.753,1470.554,4.774,0.364,0.016507,218.323576,-0.4921,2.6389,0.4349,0
7,0.237,1795.834,1503.575,4.902,0.376,0.014989,212.023768,-0.4324,2.6757,0.4206,0
5,0.206,1783.435,1520.144,4.69,0.341,0.010595,181.315395,-0.3953,2.6641,0.391,0
9,0.222,1773.719,1520.326,5.136,0.348,0.020831,256.038999,-0.4066,2.5586,0.4731,0
3,0.214,1784.096,1517.495,4.875,0.394,0.015525,204.036406,-0.4111,2.7807,0.4138,0
5,0.209,1723.212,1479.42,4.795,0.368,0.016323,222.42532,-0.5002,2.5634,0.4316,0
8,0.224,1777.617,1513.547,4.798,0.364,0.021625,241.093053,-0.4842,2.662,0.4476,0
5,0.224,1764.432,1505.797,4.565,0.301,0.018354,222.862897,-0.4381,2.6542,0.427,0
7,0.214,1749.923,1503.704,4.917,0.394,0.018736,241.024999,-0.4244,2.5373,0.4489,0
7,0.234,1817.389,1538.756,4.927,0.348,0.015175,221.124648,-0.5304,2.8619,0.4328,0
8,0.214,1758.604,1498.528,4.751,0.343,0.020655,242.311442,-0.4315,2.7285,0.4491,0
5,0.211,1773.885,1516.987,4.638,0.378,0.0187,228.764826,-0.3854,2.4536,0.4357,0
9,0.212,1747.914,1480.449,4.806,0.354,0.020541,255.311562,-0.4321,2.5579,0.4635,0
12,0.234,1927.483,1623.034,5.027,0.395,0.049784,346.175465,-0.2215,1.9814,0.5344,1
9,0.214,1810.648,1538.397,4.674,0.327,0.02865,312.410916,-0.2009,2.2934,0.5097,0
14,0.234,1833.658,1540.013,4.861,0.371,0.046739,358.856886,-0.1234,2.0819,0.5469,1
10,0.23,1911.081,1628.071,4.786,0.345,0.031451,320.929699,-0.2709,2.1122,0.5161,0
12,0.198,1726.624,1468.657,4.849,0.363,0.020035,251.574091,-0.4518,2.5152,0.4538,0
6,0.229,1833.444,1557.303,4.945,0.335,0.021256,258.934088,-0.3159,2.6081,0.4803,0
8,0.26,1837.904,1545.614,4.972,0.352,0.028185,278.41267,-0.0789,2.7131,0.4914,0
7,0.201,1751.972,1490.526,5.383,0.31,0.019792,240.999948,-0.4069,2.8463,0.4538,0
9,0.227,1871.257,1586.088,5.021,0.405,0.027838,286.016357,-0.2214,2.4554,0.5009,0
10,0.209,1796.686,1531.147,5.412,0.295,0.019635,248.651234,-0.3841,2.808,0.4758,0
10,0.237,1812.273,1538.96,4.8,0.415,0.034804,343.56292,-0.2132,2.2844,0.5302,0
11,0.23,1787.352,1522.505,5.122,0.374,0.034179,310.599847,-0.2505,2.6245,0.5192,0
14,0.205,1764.776,1501.341,5.369,0.345,0.022305,271.425833,-0.4059,2.6233,0.4781,0
10,0.188,1740.595,1479.419,5.253,0.312,0.016777,220.991352,-0.3231,2.5772,0.4404,0
11,0.226,1779.328,1510.723,5.053,0.394,0.029075,325.432055,-0.2477,2.4795,0.5267,0
9,0.224,1812.651,1528.205,5.16,0.38,0.029395,302.140531,-0.2503,2.4138,0.507,0
11,0.258,1852.86,1538.707,4.946,0.435,0.043567,353.607626,-0.2054,1.9682,0.5447,1
10,0.249,1814.839,1537.354,4.965,0.397,0.033823,315.113059,-0.199,2.1713,0.5214,1
16,0.333,2076.588,1715.857,4.814,0.384,0.208273,632.984431,-0.048,1.554,0.7261,1
10,0.197,1785.304,1526.205,4.616,0.304,0.025615,267.085867,-0.3632,2.3707,0.4676,0
7,0.248,1868.444,1580.734,5.115,0.349,0.043728,334.89868,-0.2718,2.4345,0.5297,0
12,0.253,1864.501,1576.991,4.871,0.38,0.056349,396.290411,-0.1978,2.0812,0.5776,1
7,0.258,1810.725,1524.897,5.026,0.376,0.041606,338.973606,-0.1508,2.2674,0.5305,0
12,0.212,1762.095,1500.814,5.054,0.381,0.021926,250.473956,-0.3366,2.6203,0.4716,0
5,0.221,1797.66,1532.917,5.07,0.379,0.027349,284.932328,-0.2583,2.7063,0.4887,0
5,0.211,1759.961,1496.928,5.271,0.349,0.017515,222.469252,-0.3047,2.4825,0.4448,0
8,0.249,1832.589,1552.301,5.122,0.395,0.043194,343.323791,-0.3329,2.2487,0.5478,0
6,0.203,1772.587,1499.45,4.624,0.341,0.009019,151.964378,-0.4811,2.7227,0.3581,0
8,0.202,1783.211,1506.383,4.584,0.356,0.012963,195.468981,-0.3719,2.491,0.4064,0
10,0.223,1841.432,1565.372,5.086,0.388,0.028857,272.215084,-0.2924,2.2624,0.4809,0
13,0.265,1887.346,1599.563,4.976,0.396,0.024092,277.522249,-0.1119,2.5399,0.4909,0
7,0.219,1788.741,1518.085,5.354,0.338,0.014741,248.311392,-0.42,2.4933,0.4648,0
11,0.275,1924.73,1627.749,5.01,0.39,0.06219,392.449251,-0.1969,1.9322,0.5763,0
9,0.239,1779.101,1505.382,5.147,0.373,0.022597,298.359227,-0.17,2.3708,0.5076,1
7,0.267,1936.063,1621.474,4.989,0.397,0.051801,381.229505,-0.1365,2.0704,0.57,0
18,0.325,2055.986,1711.169,4.772,0.29,0.182379,567.492553,-0.0592,1.4161,0.6871,1
11,0.243,1877.948,1595.171,4.58,0.306,0.038159,356.612613,0.0023,2.2704,0.5418,0
13,0.201,1768.033,1496.719,4.502,0.326,0.012881,201.289331,-0.4569,2.4584,0.4061,0
10,0.207,1747.39,1490.438,4.958,0.386,0.01853,260.44297,-0.3952,2.4295,0.468,0
8,0.233,1782.537,1507.486,4.941,0.372,0.026261,267.672636,-0.3306,2.45,0.4836,0
8,0.236,1793.506,1517.244,4.671,0.381,0.018444,236.621105,-0.4158,2.4115,0.444,0
9,0.187,1741.413,1479.261,4.573,0.288,0.011748,186.554448,-0.564,2.6968,0.3907,0
6,0.202,1731.457,1468.979,4.53,0.334,0.012959,191.912111,-0.5008,2.489,0.4006,0
10,0.229,1821.206,1540.241,4.718,0.328,0.024424,265.840348,-0.2664,2.656,0.47,0
5,0.251,1818.744,1549.153,4.794,0.333,0.035623,298.482523,-0.2788,2.6204,0.5016,0
8,0.201,1759.233,1501.475,4.758,0.336,0.024363,262.344446,-0.3696,2.5279,0.4637,0
17,0.339,2224.224,1887.587,4.37,0.362,0.260724,655.889841,0.0688,1.5276,0.7382,0
11,0.276,1998.036,1684.928,4.94,0.381,0.081051,434.533679,-0.2104,1.964,0.601,1
8,0.271,1823.824,1526.072,4.816,0.384,0.037449,343.866889,-0.2826,2.3765,0.5467,0
6,0.243,1737.629,1477.655,5.023,0.361,0.02294,282.185849,-0.3495,2.4273,0.4854,0
12,0.255,1863.69,1567.337,4.719,0.366,0.056666,383.354235,-0.2123,1.9974,0.5636,1
17,0.241,1860.135,1572.256,4.867,0.333,0.041161,350.790454,-0.0265,2.0186,0.5442,0
6,0.178,1767.29,1504.237,4.455,0.282,0.010888,170.570255,-0.3658,2.6076,0.3777,0
14,0.185,1800.227,1530.898,4.841,0.386,0.019506,224.860937,-0.4466,2.3418,0.4325,0
7,0.238,1845.623,1564.423,4.977,0.344,0.050193,344.819308,-0.2548,2.6717,0.5386,0
12,0.268,1943.461,1632.478,5.01,0.415,0.065831,390.615732,-0.2299,2.1693,0.5764,0
8,0.244,1800.147,1523.078,5.285,0.35,0.036971,325.689636,-0.2801,2.5062,0.5229,0
10,0.235,1860.636,1575.297,5.182,0.4,0.033733,325.009802,-0.2467,2.3194,0.5243,0
8,0.229,1806.487,1535.95,5.092,0.38,0.020086,264.353973,-0.1045,2.7765,0.4771,0
7,0.277,1865.477,1558.505,5.189,0.391,0.036753,342.626769,-0.2071,2.3764,0.545,0
12,0.228,1774.655,1510.141,5.067,0.382,0.031801,318.690715,-0.1937,2.6755,0.5154,0
7,0.248,1794.944,1515.081,5.079,0.388,0.037077,327.06122,-0.2017,2.4051,0.5358,0
6,0.22,1805.952,1545.041,5.226,0.381,0.023695,260.830133,-0.4215,2.4753,0.4773,0
7,0.211,1755.003,1496.628,5.121,0.382,0.019086,261.458662,-0.2511,2.4188,0.4734,0
5,0.238,1839.957,1557.996,4.886,0.384,0.018748,234.194788,-0.1091,2.8778,0.4551,0
12,0.242,1834.461,1556.154,4.954,0.392,0.04549,367.422613,-0.0762,2.4259,0.5574,0
7,0.229,1777.733,1522.399,4.912,0.375,0.029846,272.789372,-0.3444,2.3531,0.4739,0
12,0.271,1833.091,1542.404,4.747,0.376,0.070567,421.684519,-0.161,2.009,0.5998,1
12,0.309,1953.778,1634.246,4.768,0.389,0.099462,525.375016,-0.1576,1.8428,0.6614,1
6,0.231,1764.133,1501.044,4.675,0.383,0.016051,277.770816,-0.2426,2.4458,0.4784,1
10,0.271,1946.623,1652.989,5.037,0.403,0.081135,430.066336,-0.2144,1.6918,0.5981,1
11,0.276,1885.675,1587.746,4.978,0.386,0.075771,459.656216,-0.1642,1.8645,0.618,1
15,0.351,2027.716,1693.166,4.589,0.393,0.193592,653.276925,0.0909,1.6652,0.7447,1
12,0.276,1947.744,1644.771,5.042,0.335,0.040235,382.225219,-0.0223,2.2995,0.5703,0
9,0.264,1846.05,1536.789,4.956,0.358,0.062046,339.054994,-0.1048,2.1764,0.537,0
9,0.24,1799.623,1529.098,5.243,0.388,0.03139,312.036413,-0.3756,2.2491,0.511,1
13,0.253,1894.348,1592.759,4.744,0.414,0.046249,396.278227,-0.0934,1.8085,0.5716,1
12,0.29,1951.441,1642.322,4.651,0.366,0.080657,509.436107,0.018,2.0305,0.6544,0
12,0.209,1807.329,1528.302,4.995,0.371,0.018574,248.367961,-0.4208,2.6545,0.4591,0
17,0.321,2041.056,1678.205,4.774,0.322,0.189717,571.171775,-0.0196,1.4347,0.6898,1
8,0.267,1888.023,1601.904,4.726,0.369,0.049949,414.90793,0.0513,2.4318,0.5871,0
11,0.246,1785.315,1504.421,5.137,0.386,0.033229,339.6158,-0.313,1.9525,0.5393,1
12,0.26,1821.789,1540.027,4.813,0.338,0.045254,386.157701,-0.031,2.1408,0.569,0
7,0.214,1752.272,1497.846,4.691,0.291,0.021763,244.24847,-0.4277,2.5164,0.4472,0
9,0.203,1788.599,1519.959,4.629,0.35,0.016901,211.099175,-0.4189,2.4427,0.4195,0
7,0.213,1766.51,1509.43,4.614,0.308,0.014645,222.208455,-0.4081,2.4857,0.4332,0
11,0.249,1859.065,1571.352,5.003,0.376,0.035096,345.320407,-0.1522,2.3456,0.5463,0
8,0.232,1804.762,1541.668,5.037,0.425,0.027098,296.129434,-0.2424,2.3967,0.4977,0
6,0.232,1742.386,1473.988,5.223,0.379,0.032304,299.621477,-0.3169,2.578,0.5028,0
8,0.245,1784.882,1510.615,4.857,0.382,0.029707,295.759488,-0.1634,2.5596,0.5045,0
7,0.221,1772.452,1506.387,4.917,0.395,0.024684,270.772427,-0.3274,2.4491,0.4761,0
6,0.239,1774.513,1501.706,4.954,0.381,0.023778,296.782323,-0.245,2.4806,0.4981,0
5,0.229,1762.489,1499.441,5.055,0.395,0.012743,220.470007,-0.4849,2.4983,0.4267,0
11,0.237,1838.187,1565.574,4.909,0.391,0.036621,321.744276,-0.1515,2.637,0.5218,0
8,0.238,1755.22,1479.117,4.922,0.379,0.01328,215.118425,-0.4193,2.5126,0.4337,0
10,0.278,1829.29,1529.819,5.073,0.406,0.038179,328.827294,-0.3031,2.3435,0.5217,0
7,0.252,1778.889,1514.136,5.289,0.41,0.042578,383.06065,-0.3057,2.205,0.567,0
13,0.24,1845.833,1565.88,4.7,0.387,0.033861,314.84784,-0.1286,1.8626,0.5081,1
13,0.273,1888.636,1581.503,5.016,0.413,0.041692,399.204562,-0.0876,2.0506,0.5846,1
14,0.312,2027.28,1700.546,4.694,0.399,0.100085,508.513383,0.0248,1.6533,0.6483,1
10,0.297,2002.347,1675.577,4.765,0.358,0.0472,401.313689,-0.1102,2.0492,0.5759,0
8,0.28,1925.805,1626.924,5.047,0.381,0.046643,378.580055,-0.1876,2.2633,0.5721,1
12,0.285,1939.205,1624.267,4.968,0.397,0.096633,454.883721,-0.0766,1.8481,0.6141,1
8,0.252,1834.596,1544.664,5.019,0.407,0.043961,329.090575,-0.1709,1.9067,0.5294,0
14,0.279,1856.2,1562.712,4.848,0.386,0.111285,472.48363,-0.1834,1.9747,0.6259,0
4,0.199,1770.215,1517.331,4.827,0.377,0.017057,219.956947,-0.4453,2.3398,0.4282,0
12,0.198,1817.826,1539.522,4.629,0.34,0.016959,216.120251,-0.3821,2.5864,0.4247,0
12,0.223,1840.269,1568.542,5.129,0.417,0.03842,330.639702,-0.3019,2.338,0.5286,0
10,0.241,1819.028,1549.334,4.826,0.401,0.026363,288.426286,-0.2461,2.3163,0.4942,0
14,0.305,1953.421,1633.532,4.548,0.404,0.085887,522.423875,0.0232,1.8124,0.6572,1
15,0.367,2051.507,1700.649,4.126,0.39,0.287823,697.289215,0.1823,1.6588,0.7684,0
9,0.267,1843.617,1552.67,4.963,0.424,0.055417,393.299966,-0.1512,1.9611,0.58,0
8,0.238,1872.592,1612.08,5.073,0.391,0.046038,364.198073,-0.3727,2.2422,0.5504,1
16,0.361,2059.61,1705.269,4.281,0.378,0.275704,709.434825,0.0798,1.5215,0.7696,1
14,0.288,2009.146,1695.287,4.907,0.412,0.079121,447.534461,-0.0678,1.8144,0.6135,0
8,0.227,1848.921,1556.83,4.834,0.358,0.024929,287.331807,-0.3472,2.307,0.4885,0
7,0.225,1816.579,1539.217,4.678,0.328,0.023247,253.624189,-0.4581,2.5163,0.4648,0
11,0.235,1818.146,1536.253,4.903,0.38,0.047149,357.046559,-0.2832,2.0902,0.5472,1
12,0.322,2064.943,1721.828,5,0.346,0.176457,584.382782,-0.0682,1.4689,0.6955,1
9,0.206,1762.034,1510.433,4.798,0.341,0.020239,250.938106,-0.3348,2.2783,0.4593,0
8,0.203,1729.872,1478.574,4.692,0.37,0.02075,256.295415,-0.4089,2.463,0.4637,0
9,0.225,1792.107,1517.136,4.829,0.355,0.028906,282.164782,-0.4399,2.6017,0.4878,0
12,0.207,1730.358,1476.109,5.026,0.396,0.022017,267.366201,-0.4564,2.5812,0.4705,0
10,0.224,1848.038,1564.922,4.58,0.343,0.022919,255.237997,-0.3406,2.6337,0.4654,0
7,0.204,1748.217,1490.39,5.023,0.389,0.019212,244.117865,-0.498,2.4299,0.453,0
11,0.256,1902.245,1600.34,4.689,0.351,0.048728,369.801494,-0.1571,1.9859,0.5561,1
15,0.344,2050.592,1730.426,4.883,0.393,0.241553,665.916214,-0.0768,1.5745,0.7474,0
6,0.271,1867.487,1565.004,4.464,0.359,0.015897,209.399217,-0.3879,2.6912,0.4195,0
7,0.221,1747.838,1487.698,4.666,0.344,0.027436,267.110143,-0.3616,2.4303,0.4707,0
8,0.204,1758.989,1512.427,4.865,0.345,0.01346,222.496659,-0.5366,2.6441,0.429,0
7,0.251,1876.277,1591.945,4.7,0.329,0.03314,301.848433,-0.3342,2.3652,0.5024,0
11,0.192,1762.634,1501.14,4.488,0.302,0.010623,170.944361,-0.4459,2.6226,0.3743,0
7,0.203,1727.018,1472.852,4.665,0.374,0.020204,241.888093,-0.2681,2.4993,0.4504,0
11,0.195,1718.443,1465.679,4.9,0.351,0.014383,227.843518,-0.5144,2.5321,0.4338,0
12,0.259,1855.766,1564.08,4.688,0.367,0.06484,405.493269,-0.1639,1.9169,0.5826,0
8,0.272,1887.41,1607.278,4.744,0.38,0.062061,402.184669,-0.1752,2.2796,0.5747,1
13,0.216,1782.152,1520.767,5.263,0.323,0.037504,326.176339,-0.2063,2.1847,0.5262,1
16,0.302,1992.941,1676.758,4.759,0.369,0.134218,523.942731,-0.0294,1.8164,0.6648,0
8,0.223,1803.627,1525.668,4.536,0.308,0.021425,244.621209,-0.3004,2.3049,0.4529,0
10,0.198,1744.583,1487.984,4.759,0.334,0.021258,244.830938,-0.4056,2.4263,0.4491,0
9,0.196,1806.594,1539.158,4.356,0.238,0.018948,229.178224,-0.2787,2.4054,0.434,0
11,0.182,1787.401,1521.122,4.552,0.256,0.018514,217.228361,-0.3407,2.4152,0.4195,0
7,0.178,1798.583,1527.669,4.322,0.256,0.016348,209.614485,-0.2695,2.401,0.4156,0
10,0.287,1898.019,1615.666,4.9,0.431,0.084961,470.345677,0.0119,2.0851,0.6312,1
14,0.287,1944.285,1625.409,5.199,0.372,0.106917,466.587637,-0.2294,1.7238,0.6203,0
9,0.32,2021.11,1705.737,4.773,0.462,0.118063,513.021035,-0.0705,1.772,0.6557,1
15,0.326,2088.669,1723.115,5.019,0.309,0.178966,597.381808,-0.1295,1.4136,0.7043,1
15,0.29,2074.493,1728.416,4.729,0.373,0.085485,476.640849,-0.0387,1.6531,0.6285,0
6,0.198,1718.104,1470.137,4.567,0.341,0.015357,217.689219,-0.3681,2.4412,0.4309,1
14,0.302,2014.833,1679.827,4.717,0.359,0.139391,538.891881,-0.0542,1.6056,0.668,0
9,0.221,1806.127,1534.003,5.023,0.345,0.033319,307.479822,-0.4869,2.4267,0.5038,0
8,0.212,1832.174,1546.575,4.503,0.336,0.023519,245.752335,-0.2844,2.4088,0.451,0
8,0.207,1846.373,1565.497,4.898,0.353,0.014503,228.06928,-0.5574,2.8784,0.4366,0
10,0.193,1766.209,1501.565,4.561,0.323,0.015277,216.949731,-0.3633,2.391,0.424,0
10,0.181,1741.725,1489.484,4.66,0.333,0.016572,209.335475,-0.4719,2.5198,0.4146,0
12,0.197,1710.98,1464.163,4.542,0.336,0.01512,228.122518,-0.2774,2.638,0.4362,1
15,0.309,2043.371,1712.988,4.976,0.321,0.163449,562.269708,-0.1497,1.5143,0.6813,1
13,0.263,1951.247,1633.566,4.847,0.378,0.05889,399.773102,-0.0345,1.8628,0.5807,0
11,0.232,1827.129,1550.231,4.628,0.345,0.038131,345.58081,-0.1767,2.2758,0.5357,0
10,0.192,1731.495,1475.47,4.724,0.336,0.016229,214.794267,-0.3272,2.6161,0.425,0
10,0.224,1784.186,1515.065,4.907,0.388,0.032935,311.026612,-0.1223,2.4699,0.5143,0
8,0.273,1819.652,1537.901,4.919,0.399,0.067443,400.306348,-0.1717,2.0856,0.5775,0
9,0.233,1870.91,1576.613,4.926,0.354,0.026766,272.288685,-0.4404,2.4758,0.4802,0
