TCSC,MAV,STE,MEA,shannon,sample,b_power_git,energy_git,skewness,kurtosis,std_dev,rhythm
25,0.337,1794.079,1493.22,4.595,0.604,0.0204,180.1007,0.0083,2.2582,0.3969,1
24,0.234,1666.599,1413.009,4.503,0.671,0.0052,90.3766,-0.0067,2.6611,0.2802,1
21,0.183,1790.136,1496.039,4.108,0.721,0.0013,46.9767,0.2731,2.6143,0.2048,1
19,0.25,1561.028,1348.988,4.4,0.638,0.0066,108.5889,0.2292,3.629,0.3074,1
11,0.262,1817.216,1513.346,4.1,0.692,0.0008,47.8689,0.2312,2.7505,0.2065,1
23,0.387,1716.709,1434.151,4.809,0.628,0.0321,218.6451,-0.1797,2.1729,0.4371,1
16,0.246,1677.14,1416.368,4.323,0.684,0.0032,81.6828,-0.1075,2.8163,0.2671,1
21,0.408,1754.139,1471.479,4.705,0.601,0.0318,213.701,-0.0597,2.0273,0.4303,1
18,0.441,1752.215,1482.09,4.838,0.59,0.0468,252.686,-0.0736,2.1123,0.469,1
26,0.304,1849.136,1540.5,4.712,0.626,0.0146,147.2484,-0.0966,2.0976,0.3587,1
8,0.297,1759.597,1494.794,4.683,0.63,0.0048,91.8186,-0.2552,2.0747,0.2841,1
17,0.396,1767.242,1483.018,4.694,0.61,0.0217,205.1546,0.0183,2.3385,0.4214,1
14,0.362,1710.401,1451.756,4.986,0.61,0.0148,176.2229,-0.2264,2.2192,0.3943,1
17,0.318,1762.696,1481.37,4.608,0.643,0.0102,142.045,-0.0877,2.377,0.3506,1
23,0.396,1833.041,1528.097,4.628,0.544,0.0217,193.9777,-0.0218,1.8248,0.4094,1
14,0.452,1852.327,1567.976,4.758,0.585,0.0315,242.5177,0.0122,2.0825,0.4603,1
27,0.281,1715.003,1450.204,4.734,0.629,0.0072,126.8552,-0.3098,2.4449,0.3306,1
26,0.366,1858.996,1552.79,4.733,0.602,0.0222,191.2305,-0.0166,1.9538,0.4077,1
20,0.304,1765.718,1472.845,4.559,0.63,0.007,121.0968,-0.0236,1.848,0.3237,1
10,0.34,1625.301,1396.613,4.7,0.627,0.0145,172.086,-0.2955,3.086,0.3839,1
14,0.355,1697.748,1431.872,4.712,0.612,0.0119,165.4389,-0.0028,2.5869,0.3786,1
21,0.377,1751.443,1486.101,4.696,0.619,0.0305,253.4315,0.0593,2.7587,0.4659,1
18,0.339,1805.724,1516.048,4.647,0.609,0.0164,162.2502,-0.0801,2.357,0.3739,1
27,0.242,1736.634,1468.986,4.589,0.603,0.0034,91.7438,-0.2792,2.5151,0.2849,1
17,0.327,1725.828,1458.901,4.685,0.629,0.0161,168.1028,-0.1237,2.5172,0.3791,1
13,0.387,1618.046,1391.011,4.891,0.598,0.0238,207.2221,-0.3954,3.5382,0.4239,1
19,0.436,1729.414,1460.141,4.84,0.579,0.032,265.2321,-0.0102,2.3775,0.4748,1
8,0.409,1790.462,1497.552,4.574,0.61,0.011,143.8586,0.0368,2.8562,0.3505,1
19,0.378,1689.388,1434.497,4.673,0.616,0.023,208.367,-0.264,2.2361,0.4247,1
16,0.308,1782.023,1498.309,4.733,0.65,0.0079,129.0829,-0.1015,2.1833,0.3339,1
18,0.331,1583.442,1365.95,4.767,0.619,0.013,172.5387,-0.301,2.6965,0.3872,1
10,0.375,1770.009,1488.669,4.614,0.615,0.0081,141.0065,-0.0221,2.1291,0.3448,1
14,0.389,1736.645,1469.66,4.851,0.603,0.0205,209.8091,-0.2271,2.344,0.4239,1
4,0.754,1592.635,1369.278,5.104,0.051,0.1002,541.4004,-0.955,3.4471,0.6926,0
11,0.55,1646.303,1416.11,5.041,0.05,0.1066,563.5727,-1.0688,3.6254,0.6783,0
12,0.728,1807.964,1509.399,4.787,0.052,0.0904,543.132,-0.9595,3.3934,0.6716,0
13,0.842,2011.669,1665.312,4.639,0.052,0.1674,707.2761,-0.8185,2.8433,0.7675,0
10,0.66,1785.473,1491.497,4.922,0.049,0.1967,708.8026,-0.918,2.9959,0.7644,0
11,0.725,1680.428,1446.289,5.034,0.05,0.1512,690.2442,-0.8986,3.0203,0.7632,0
10,1.796,2065.094,1712.598,4.792,0.055,0.1668,703.4783,-0.7988,2.9495,0.7746,0
11,0.756,1880.39,1547.686,4.847,0.053,0.207,758.1139,-0.8693,2.8961,0.7839,0
9,0.713,1745.714,1451.248,4.857,0.052,0.2004,777.0455,-0.8655,2.9192,0.7993,0
9,0.655,1747.305,1470.637,4.676,0.052,0.2107,766.6484,-0.8057,2.8105,0.7961,0
0,1.885,1289.677,1276.041,3.988,0.006,431.5678,65719.6799,-8.0521,75.9591,7.8392,0
0,9.825,1483.228,1449.008,2.413,0.006,15735.5828,217308.5442,-1.1968,5.5665,17.264,0
14,0.825,1687.133,1430.514,4.168,0.073,0.0163,286.5501,0.3582,3.3468,0.4925,0
10,0.438,1653.651,1412.993,3.216,0.051,0.0207,298.9679,0.904,3.2662,0.512,0
11,0.471,1685.954,1410.045,3.493,0.057,0.0259,298.9127,1.0541,3.363,0.5119,0
9,0.531,1575.671,1344.969,3.374,0.05,0.035,352.6647,0.6631,3.4564,0.5464,0
10,0.475,1834.576,1507.598,3.231,0.053,0.0201,258.0362,1.1071,3.3383,0.463,0
10,0.419,1777.905,1480.42,2.99,0.045,0.0175,241.8596,1.1107,3.1343,0.4567,0
9,0.497,1629.513,1374.96,2.89,0.051,0.0385,367.3947,1.1372,3.7375,0.5544,0
9,0.449,1837.481,1492.828,2.603,0.044,0.017,242.3841,1.2259,3.3901,0.449,0
9,0.416,1825.273,1499.396,2.516,0.044,0.0162,235.9312,1.201,3.2935,0.4434,0
9,0.415,1829.953,1498.46,2.482,0.041,0.0144,227.7911,1.295,3.5371,0.4351,0
9,0.392,1775.032,1478.964,2.488,0.042,0.0197,244.0879,1.2461,3.3518,0.4501,0
8,0.387,1769.316,1485.879,2.464,0.039,0.0214,249.1649,1.2291,3.3119,0.4566,0
9,0.377,1748.396,1462.46,2.427,0.041,0.0191,228.1768,1.2769,3.4627,0.4368,0
9,0.373,1670.444,1405.745,3.001,0.044,0.0152,205.1303,1.2832,3.6955,0.4271,0
7,0.414,1657.838,1413.477,2.997,0.046,0.0248,288.2966,0.9369,3.8056,0.4932,0
10,0.393,1693.018,1444.882,3.327,0.049,0.0222,287.1924,0.8774,3.1264,0.5014,0
9,0.344,1673.448,1439.92,2.581,0.044,0.0111,237.0182,1.2089,3.2881,0.4441,0
9,0.34,1663.19,1437.166,2.51,0.043,0.0094,235.204,1.2257,3.3043,0.4422,0
9,0.353,1640.098,1406.192,2.628,0.044,0.0107,235.1738,1.2305,3.3389,0.4428,0
9,0.336,1672.078,1446.801,2.483,0.043,0.0173,237.0756,1.2353,3.3463,0.4435,0
9,0.326,1663.613,1456.847,2.336,0.04,0.0212,237.857,1.3023,3.511,0.448,0
8,0.341,1671.804,1429.181,2.393,0.041,0.0166,222.9126,1.2987,3.5367,0.4265,0
9,0.356,1694.711,1444.661,2.534,0.042,0.011,233.782,1.2239,3.3033,0.4405,0
10,0.386,1537.339,1343.766,2.745,0.039,0.0102,295.8535,1.2543,4.165,0.4976,0
9,0.336,1580.606,1381.397,3.036,0.048,0.0105,236.0854,1.1706,3.2551,0.4464,0
12,0.409,1600.987,1379.791,3.419,0.05,0.0234,286.1204,0.9796,3.3999,0.4972,0
10,0.37,1536.344,1334.51,3.261,0.047,0.0122,203.7096,0.5371,5.0527,0.4211,0
8,0.386,1501.349,1326.276,4.332,0.07,0.0123,269.8714,-0.6022,5.7434,0.4858,1
20,0.495,1681.557,1421.46,4.375,0.091,0.0635,417.4997,0.3716,2.8427,0.5906,1
14,0.335,1581.941,1384.887,3.292,0.062,0.0129,243.3551,1.1,3.5596,0.4537,0
10,0.406,1538.409,1359.69,3.038,0.049,0.016,277.5327,1.0988,3.4175,0.4843,0
9,0.426,1789.483,1518.263,3.316,0.05,0.0127,271.6375,0.9791,3.0957,0.4834,0
10,0.345,1673.723,1433.354,2.721,0.047,0.0105,227.1288,1.1992,3.3531,0.4351,0
9,0.374,1592.896,1370.52,2.767,0.045,0.0197,268.3837,1.0084,3.3774,0.4756,0
9,0.363,1691.819,1439.643,2.57,0.042,0.0191,244.6642,1.1859,3.286,0.4506,0
9,0.34,1654.598,1429.244,2.582,0.045,0.0229,240.731,1.2173,3.6941,0.452,0
8,0.363,1703.119,1449.642,2.607,0.041,0.0157,247.5168,1.229,3.3487,0.4504,0
9,0.355,1711.187,1471.255,2.425,0.044,0.0112,255.6614,1.2232,3.2924,0.461,0
11,0.447,1584.649,1373.37,3.112,0.053,0.0317,350.3647,1.1222,3.9293,0.5528,0
9,0.375,1727.607,1453.205,2.511,0.042,0.0205,236.5145,1.2329,3.3772,0.444,0
8,0.361,1648.568,1437.435,3.613,0.049,0.0324,319.4272,0.3397,3.3332,0.5605,0
5,1.396,1728.83,1559.351,3.331,0.047,0.0173,314.9507,0.0786,3.1817,0.7012,0
10,0.532,2130.631,1739.715,2.559,0.045,0.0143,257.735,1.1972,3.3823,0.4649,0
12,0.494,1598.229,1366.23,3.719,0.062,0.0224,305.2573,0.8067,2.9679,0.5297,0
8,0.397,1773.249,1466.765,2.623,0.045,0.0095,231.5591,1.1852,3.2903,0.4405,0
9,0.376,1680.273,1433.2,2.643,0.041,0.0207,269.4557,1.2537,3.3613,0.4737,0
13,0.497,1659.657,1397.03,3.159,0.053,0.0415,369.34,0.8001,3.1785,0.5575,0
8,0.442,1566.789,1349.779,3.318,0.047,0.033,304.858,1.0591,3.3966,0.5104,0
10,0.484,1585.608,1366.86,3.449,0.056,0.0384,393.4815,0.6729,3.3429,0.5921,0
11,0.461,1565.237,1348.229,3.433,0.056,0.0221,354.2879,1.0288,4.1733,0.5592,0
11,0.418,1720.133,1472.489,3.301,0.052,0.0256,306.6987,0.9033,3.3597,0.5235,0
7,0.385,1555.565,1354.231,2.986,0.044,0.0339,300.4657,1.3592,4.6391,0.4982,0
9,0.385,1615.962,1386.117,2.92,0.046,0.0149,284.984,1.1412,3.4922,0.4878,0
9,0.386,1679.082,1433.865,2.814,0.046,0.0191,288.417,1.1105,3.0665,0.49,0
9,0.346,1584.1,1386.872,2.588,0.043,0.0226,260.812,1.168,3.3008,0.4656,0
9,0.429,1535.77,1364.152,3.09,0.052,0.0177,237.2835,0.8565,2.913,0.4733,0
11,0.385,1626.83,1408.771,3.284,0.046,0.019,276.356,0.8818,3.3363,0.4902,0
10,0.394,1605.423,1400.353,2.864,0.051,0.0268,328.6798,0.8908,3.3592,0.5294,0
9,0.365,1618.674,1392.225,2.935,0.056,0.013,254.8549,1.0854,3.2836,0.4624,0
11,0.454,1388.103,1284.225,3.063,0.053,0.0405,507.1556,-0.9923,10.8386,0.6675,0
11,0.339,1610.327,1402.493,3.066,0.055,0.0108,244.3168,1.0416,3.1389,0.4563,0
13,0.534,1492.503,1328.121,4.423,0.079,0.0671,470.2608,-0.4789,4.0343,0.653,0
11,0.423,1628.338,1400.215,3.83,0.06,0.0257,286.9243,0.7778,3.2937,0.5239,0
8,0.326,1650.631,1434.047,2.457,0.038,0.0155,232.4778,1.2862,3.4395,0.4402,0
9,0.326,1649.255,1438.598,2.535,0.043,0.0105,238.2036,1.2385,3.3403,0.4449,0
9,0.355,1610.437,1413.359,2.826,0.041,0.0153,281.7017,1.1768,3.1599,0.4884,0
10,0.656,1536.246,1371.653,3.425,0.041,0.334,1073.0372,0.6362,3.9075,0.8358,0
0,25.662,1898.899,1865.189,1.488,0.023,93084.6377,532680.1065,0.4216,4.6356,22.1715,0
0,6.208,1382.233,1339.348,3.467,0.005,1577.3904,184292.2301,-3.8482,19.1968,13.7735,0
0,1.391,2205.463,1823.601,2.643,0.041,0.0221,255.517,1.2616,3.6003,0.4554,0
7,0.933,1531.443,1363.334,3.957,0.053,0.1804,839.2325,1.1762,5.9054,0.9295,0
9,0.843,1573.744,1357.194,3.482,0.042,0.3165,914.4316,0.9582,4.7824,0.909,0
13,0.637,1908.025,1577.578,3.957,0.06,0.0466,418.6115,0.5363,2.7203,0.6179,0
9,0.708,1584.415,1344.588,3.548,0.054,0.0276,352.3343,1.0404,4.1838,0.5838,0
9,0.443,1707.341,1414.43,2.889,0.043,0.0247,250.3755,1.2303,3.669,0.4667,0
8,0.45,1667.032,1391.659,2.567,0.049,0.0182,298.9223,1.0854,3.6013,0.4953,0
11,0.409,1679.013,1399.087,3.089,0.046,0.0062,201.7961,1.2189,3.4504,0.4144,0
9,0.379,1741.214,1465.817,3.044,0.051,0.0112,244.8607,1.0728,3.0919,0.4529,0
14,0.377,1556.089,1362.152,3.997,0.071,0.0211,269.8962,0.1711,4.0488,0.4885,0
10,0.388,1567.275,1362.792,3.333,0.056,0.0237,254.8602,1.1742,4.0369,0.4725,0
10,0.427,1593.908,1387.695,3.43,0.054,0.0239,302.7538,1.0071,3.4471,0.5047,0
11,0.47,1515.89,1325.363,3.401,0.047,0.034,387.3504,0.709,3.4854,0.5848,0
10,0.517,1749.052,1456.252,3.521,0.057,0.0258,316.0724,0.7812,2.8658,0.54,0
12,0.416,1567.905,1357.476,3.461,0.055,0.0261,284.8333,1.1284,3.9904,0.5068,0
11,0.538,1595.021,1360.261,3.913,0.053,0.0562,398.2288,-0.0435,3.8455,0.5839,0
9,0.478,1490.266,1324.873,3.369,0.049,0.0613,463.657,0.2398,5.2336,0.6305,0
10,0.591,1718.055,1467.931,4.525,0.067,0.1402,630.6703,-0.4153,3.408,0.7345,1
20,0.457,1708.465,1444.197,4.271,0.093,0.0453,365.4436,0.0477,2.8512,0.555,1
20,0.654,1859.881,1547.304,4.283,0.102,0.2615,677.1036,0.08,2.0515,0.7575,1
10,0.318,1654.912,1441.198,3.057,0.24,0.0123,207.1359,1.0124,2.8164,0.4183,0
10,0.372,1751.72,1466.362,2.889,0.211,0.0131,215.473,1.0331,2.8478,0.4242,0
11,0.476,1591.666,1381.405,3.195,0.227,0.0144,224.3322,0.9726,2.842,0.4335,0
9,1.648,1785.941,1520.312,4.071,0.369,0.0218,297.423,-0.0434,6.0877,0.5694,0
2,0.945,2226.928,1858.635,2.966,0.229,0.0132,220.992,1.0435,2.9262,0.4312,0
12,0.594,1930.326,1587.318,2.83,0.192,0.012,204.228,1.0812,2.9807,0.4141,0
10,0.469,1922.41,1567.203,2.935,0.203,0.011,205.0625,1.0716,2.9451,0.4168,0
11,0.322,1665.36,1450.346,2.962,0.21,0.0127,221.4888,1.0805,2.9889,0.4313,0
10,0.364,1759.006,1470.33,2.917,0.227,0.0109,199.7765,1.0528,2.9125,0.4125,0
10,0.342,1648.739,1405.894,3.116,0.248,0.0132,221.4731,1.0039,2.8139,0.4279,0
10,0.35,1729.341,1469.585,2.98,0.23,0.0124,216.2664,1.0009,2.723,0.425,0
10,0.361,1722.567,1460.894,3.098,0.233,0.0137,225.6956,1.0007,2.7819,0.4345,0
10,0.341,1700.27,1454.919,2.905,0.217,0.014,226.3749,1.0404,2.8039,0.4353,0
10,0.63,1538.985,1353.996,3.718,0.289,0.0188,272.5305,-0.1858,5.7981,0.5739,0
15,0.489,1890.841,1538.804,3.165,0.291,0.0145,228.2727,1.0135,2.8733,0.4368,0
10,0.396,1778.04,1474.858,2.905,0.234,0.0141,222.8344,1.0282,2.7913,0.431,0
10,0.353,1690.415,1435.27,2.957,0.225,0.0118,208.6606,1.0423,2.8704,0.4186,0
10,0.341,1741.89,1489.957,2.791,0.183,0.0144,226.4012,1.0525,2.8265,0.4351,0
11,0.35,1735.558,1461.817,3.015,0.221,0.0109,202.7864,1.0095,2.8343,0.4128,0
10,0.346,1716.733,1457.715,3.039,0.248,0.0128,211.4554,1.0069,2.8418,0.4213,0
11,0.418,1813.239,1492.345,2.952,0.236,0.0142,224.8635,1.0353,2.7811,0.4338,0
10,0.369,1734.138,1451.266,3.096,0.245,0.0119,208.5047,1.007,2.7569,0.4175,0
10,0.362,1775.613,1487.469,2.971,0.237,0.014,222.7772,1.0234,2.8097,0.4323,0
10,0.351,1719.285,1452.367,3.051,0.245,0.0116,206.5158,1.0254,2.7695,0.4159,0
10,0.411,1823.812,1520.342,3.005,0.244,0.0152,230.242,1.0112,2.768,0.4411,0
16,0.425,1692.87,1451.579,3.256,0.25,0.0129,213.1505,0.9491,2.6717,0.4258,0
13,0.332,1643.475,1431.343,3.24,0.251,0.0106,202.1729,0.9376,2.6048,0.4104,0
10,0.319,1666.036,1453.802,3.095,0.238,0.0129,215.5552,0.9768,2.6871,0.4226,0
10,0.329,1697.549,1450.576,3.036,0.239,0.0107,196.0098,1.0033,2.7636,0.4064,0
10,0.328,1707.242,1458.233,3.034,0.236,0.0115,203.134,1.0128,2.7907,0.4116,0
10,0.334,1711.297,1465.12,2.982,0.221,0.0128,214.1163,1.0217,2.7673,0.4238,0
11,0.335,1721.011,1458.864,3.111,0.242,0.0107,200.6678,1.006,2.7825,0.4099,0
10,0.326,1698.313,1463.638,2.973,0.229,0.0128,215.1559,1.0296,2.767,0.4235,0
11,0.34,1734.036,1464.559,3.073,0.244,0.0109,197.605,1.0091,2.7814,0.4071,0
10,0.339,1704.61,1453.472,3.03,0.237,0.0118,200.6147,1.0152,2.791,0.4097,0
10,0.334,1743.381,1481.492,3.001,0.222,0.0125,209.3006,1.0112,2.7582,0.4183,0
10,0.332,1721.219,1456.996,3.089,0.255,0.0101,193.0195,1.0043,2.7681,0.4029,0
10,0.329,1703.993,1466.865,2.965,0.239,0.0131,217.6011,1.021,2.7689,0.4256,0
9,0.357,1693.132,1435.894,3.078,0.232,0.0145,223.9228,1.0114,2.938,0.4343,0
10,0.354,1756.532,1473.545,3.076,0.248,0.0115,202.327,1.0067,2.7728,0.4114,0
11,0.396,1563.443,1358.503,3.051,0.219,0.0313,322.2061,1.0884,3.7849,0.5196,0
12,0.332,1726.376,1462.62,3.132,0.239,0.0102,193.1823,0.9922,2.7284,0.4029,0
10,0.333,1727.617,1484.305,3.045,0.223,0.013,219.1653,1.0066,2.746,0.4298,0
10,0.339,1732.519,1468.248,3.117,0.236,0.0107,201.8671,0.9917,2.7143,0.4129,0
10,0.347,1735.091,1458.382,3.135,0.238,0.0108,201.5889,0.9582,2.6818,0.4082,0
10,0.342,1729.552,1472.051,3.022,0.224,0.013,219.7888,0.9966,2.704,0.4278,0
10,0.346,1716.394,1454.528,3.086,0.237,0.0116,205.9945,0.9967,2.7454,0.4148,0
10,0.321,1673.407,1450.819,2.914,0.214,0.013,216.8226,1.0267,2.8015,0.4266,0
10,0.354,1764.557,1484.067,2.88,0.21,0.0112,203.3766,1.0748,2.9151,0.4134,0
9,0.337,1715.098,1448.199,2.865,0.209,0.011,198.6054,1.0867,2.99,0.404,0
9,0.324,1721.08,1486.171,2.801,0.181,0.0129,218.6118,1.0522,2.8249,0.4276,0
10,0.341,1691.539,1433.715,3.023,0.209,0.0109,200.5647,1.0335,2.8466,0.4098,0
11,0.367,1593.777,1376.33,3.493,0.314,0.014,223.424,0.9103,2.9798,0.4363,0
10,1.677,1829.048,1627.256,3.889,0.277,0.07,466.0141,-0.771,5.9644,0.8493,0
11,0.365,1754.488,1472.064,3.831,0.34,0.0103,203.4816,0.8786,3.0603,0.423,0
11,0.321,1648.238,1438.539,3.093,0.256,0.0131,219.6448,1.0137,2.8167,0.4288,0
12,0.347,1604.233,1385.171,3.019,0.239,0.0108,209.0757,1.0588,2.8876,0.417,0
11,0.346,1649.042,1417.201,3.47,0.239,0.0138,221.1266,0.9284,2.7342,0.4326,0
11,0.386,1679.828,1412.762,3.211,0.258,0.0119,220.3313,0.8965,2.9235,0.4338,0
14,0.339,1641.274,1411.94,3.383,0.338,0.0095,187.436,0.9574,2.8418,0.402,0
10,0.381,1554.229,1347.107,3.196,0.245,0.0211,268.8038,1.0756,3.908,0.4771,0
10,0.39,1865.468,1537.769,3.42,0.295,0.0099,209.7818,0.9762,2.8669,0.423,0
11,0.412,1786.556,1499.14,3.517,0.288,0.0217,265.0973,0.7742,2.7659,0.4774,0
11,0.361,1748.928,1468.74,3.271,0.295,0.012,208.5504,0.9721,2.7177,0.4219,0
10,0.424,1630.775,1380.245,3.24,0.268,0.0149,257.1376,1.0061,2.964,0.4682,0
13,0.432,1554.109,1336.199,3.35,0.288,0.0246,299.5491,0.4979,3.1476,0.4969,0
8,0.457,1961.205,1613.277,2.939,0.24,0.0142,228.2041,1.0318,2.7976,0.4371,0
12,0.393,1826.862,1514.266,3.15,0.241,0.0129,221.7983,0.9982,2.9518,0.4329,0
10,0.362,1706.065,1471.708,2.993,0.266,0.0151,230.8747,1.0203,2.7618,0.4407,0
10,0.394,1796.18,1497.815,3.009,0.269,0.0161,242.0561,1.0019,2.7508,0.4514,0
10,0.361,1740.274,1478.61,2.985,0.239,0.0169,244.6281,1.0124,2.7576,0.4519,0
10,0.322,1663.825,1441.25,3.399,0.299,0.0111,210.6825,0.9888,3.1289,0.4232,0
