TCSC,MAV,STE,MEA,Shannon_ent,sample_ent,band_power,segment_energy,skewness,kurtosis,std_dev,rhythm
12,0.427,1894.656,1602.935,5.182,0.4,0.033733,325.009802,-0.2467,2.3194,0.5243,0
10,0.377,1773.897,1508.289,5.092,0.38,0.020086,264.353973,-0.1045,2.7765,0.4771,0
13,0.445,1794.172,1506.81,5.189,0.391,0.036753,342.626769,-0.2071,2.3764,0.545,0
10,0.404,1744.317,1482.21,5.067,0.382,0.031801,318.690715,-0.1937,2.6755,0.5154,0
11,0.428,1861.157,1580.898,5.079,0.388,0.037077,327.06122,-0.2017,2.4051,0.5358,0
9,0.389,1800.704,1514.201,5.226,0.381,0.023695,260.830133,-0.4215,2.4753,0.4773,0
11,0.384,1845.896,1559.772,5.121,0.382,0.019086,261.458662,-0.2511,2.4188,0.4734,0
10,0.354,1688.753,1440.031,4.886,0.384,0.018748,234.194788,-0.1091,2.8778,0.4551,0
11,0.446,1815.647,1536.135,4.954,0.392,0.04549,367.422613,-0.0762,2.4259,0.5574,0
14,0.382,1850.994,1564.078,4.912,0.375,0.029846,272.789372,-0.3444,2.3531,0.4739,0
13,0.498,2027.811,1727.708,4.747,0.376,0.070567,421.684519,-0.161,2.009,0.5998,1
14,0.563,2085.252,1767.484,4.768,0.389,0.099462,525.375016,-0.1576,1.8428,0.6614,1
10,0.382,1780.019,1503.98,4.675,0.383,0.016051,277.770816,-0.2426,2.4458,0.4784,1
14,0.526,2111.122,1764.905,5.037,0.403,0.081135,430.066336,-0.2144,1.6918,0.5981,1
13,0.525,2073.905,1755.194,4.978,0.386,0.075771,459.656216,-0.1642,1.8645,0.618,1
16,0.658,1995.352,1638.078,4.589,0.393,0.193592,653.276925,0.0909,1.6652,0.7447,1
15,0.459,1871.973,1585.096,5.042,0.335,0.040235,382.225219,-0.0223,2.2995,0.5703,0
15,0.439,1852.527,1554.402,4.956,0.358,0.062046,339.054994,-0.1048,2.1764,0.537,0
12,0.424,1806.21,1508.278,5.243,0.388,0.03139,312.036413,-0.3756,2.2491,0.511,1
13,0.487,2055.704,1730.735,4.744,0.414,0.046249,396.278227,-0.0934,1.8085,0.5716,1
14,0.541,1970.038,1664.543,4.651,0.366,0.080657,509.436107,0.018,2.0305,0.6544,0
10,0.371,1749.426,1475.49,4.995,0.371,0.018574,248.367961,-0.4208,2.6545,0.4591,0
17,0.634,2176.235,1785.593,4.774,0.322,0.189717,571.171775,-0.0196,1.4347,0.6898,1
14,0.472,1772.339,1494.213,4.726,0.369,0.049949,414.90793,0.0513,2.4318,0.5871,0
12,0.458,2015.257,1695.515,5.137,0.386,0.033229,339.6158,-0.313,1.9525,0.5393,1
15,0.469,1831.316,1531.049,4.813,0.338,0.045254,386.157701,-0.031,2.1408,0.569,0
11,0.351,1865.297,1595.807,4.691,0.291,0.021763,244.24847,-0.4277,2.5164,0.4472,0
10,0.332,1887.184,1614.696,4.629,0.35,0.016901,211.099175,-0.4189,2.4427,0.4195,0
10,0.336,1800.469,1534.757,4.614,0.308,0.014645,222.208455,-0.4081,2.4857,0.4332,0
12,0.443,1849.344,1560.038,5.003,0.376,0.035096,345.320407,-0.1522,2.3456,0.5463,0
12,0.398,1827.499,1548.38,5.037,0.425,0.027098,296.129434,-0.2424,2.3967,0.4977,0
10,0.406,1761.9,1485.664,5.223,0.379,0.032304,299.621477,-0.3169,2.578,0.5028,0
10,0.397,1780.799,1512.677,4.857,0.382,0.029707,295.759488,-0.1634,2.5596,0.5045,0
12,0.386,1811.001,1526.565,4.917,0.395,0.024684,270.772427,-0.3274,2.4491,0.4761,0
11,0.397,1839.946,1562.54,4.954,0.381,0.023778,296.782323,-0.245,2.4806,0.4981,0
13,0.346,1827.898,1542.376,5.055,0.395,0.012743,220.470007,-0.4849,2.4983,0.4267,0
12,0.415,1737.177,1471.071,4.909,0.391,0.036621,321.744276,-0.1515,2.637,0.5218,0
10,0.348,1778.931,1503.119,4.922,0.379,0.01328,215.118425,-0.4193,2.5126,0.4337,0
14,0.425,1839.374,1549.032,5.073,0.406,0.038179,328.827294,-0.3031,2.3435,0.5217,0
13,0.468,1928.777,1627.267,5.289,0.41,0.042578,383.06065,-0.3057,2.205,0.567,0
14,0.431,1999.47,1675.969,4.7,0.387,0.033861,314.84784,-0.1286,1.8626,0.5081,1
13,0.491,1897.701,1583.057,5.016,0.413,0.041692,399.204562,-0.0876,2.0506,0.5846,1
15,0.571,2073.794,1719.442,4.694,0.399,0.100085,508.513383,0.0248,1.6533,0.6483,1
13,0.478,2001.999,1700.489,4.765,0.358,0.0472,401.313689,-0.1102,2.0492,0.5759,0
11,0.472,1858.739,1558.994,5.047,0.381,0.046643,378.580055,-0.1876,2.2633,0.5721,1
13,0.524,1999.157,1668.966,4.968,0.397,0.096633,454.883721,-0.0766,1.8481,0.6141,1
14,0.455,1953.464,1621.056,5.019,0.407,0.043961,329.090575,-0.1709,1.9067,0.5294,0
13,0.526,1988.013,1673.348,4.848,0.386,0.111285,472.48363,-0.1834,1.9747,0.6259,0
10,0.348,1877.466,1587.593,4.827,0.377,0.017057,219.956947,-0.4453,2.3398,0.4282,0
9,0.333,1756.051,1490.895,4.629,0.34,0.016959,216.120251,-0.3821,2.5864,0.4247,0
11,0.43,1832.494,1542.067,5.129,0.417,0.03842,330.639702,-0.3019,2.338,0.5286,0
11,0.396,1857.802,1574.881,4.826,0.401,0.026363,288.426286,-0.2461,2.3163,0.4942,0
14,0.565,1994.194,1658.412,4.548,0.404,0.085887,522.423875,0.0232,1.8124,0.6572,1
16,0.678,2070.743,1714.461,4.126,0.39,0.287823,697.289215,0.1823,1.6588,0.7684,0
14,0.489,2049.415,1738.692,4.963,0.424,0.055417,393.299966,-0.1512,1.9611,0.58,0
13,0.451,1844.2,1549.575,5.073,0.391,0.046038,364.198073,-0.3727,2.2422,0.5504,1
17,0.697,2133.005,1755.895,4.281,0.378,0.275704,709.434825,0.0798,1.5215,0.7696,1
14,0.532,1989.549,1649.957,4.907,0.412,0.079121,447.534461,-0.0678,1.8144,0.6135,0
10,0.402,1857.113,1559.908,4.834,0.358,0.024929,287.331807,-0.3472,2.307,0.4885,0
9,0.369,1774.426,1503.565,4.678,0.328,0.023247,253.624189,-0.4581,2.5163,0.4648,0
12,0.455,1936.73,1628.225,4.903,0.38,0.047149,357.046559,-0.2832,2.0902,0.5472,1
16,0.632,2250.342,1880.552,5,0.346,0.176457,584.382782,-0.0682,1.4689,0.6955,1
10,0.372,1903.485,1614.13,4.798,0.341,0.020239,250.938106,-0.3348,2.2783,0.4593,0
12,0.371,1814.461,1535.702,4.692,0.37,0.02075,256.295415,-0.4089,2.463,0.4637,0
9,0.388,1820.035,1546.785,4.829,0.355,0.028906,282.164782,-0.4399,2.6017,0.4878,0
10,0.376,1791.75,1516.912,5.026,0.396,0.022017,267.366201,-0.4564,2.5812,0.4705,0
9,0.365,1778.539,1512.736,4.58,0.343,0.022919,255.237997,-0.3406,2.6337,0.4654,0
11,0.371,1840.807,1549.534,5.023,0.389,0.019212,244.117865,-0.498,2.4299,0.453,0
13,0.461,1974.504,1666.25,4.689,0.351,0.048728,369.801494,-0.1571,1.9859,0.5561,1
16,0.672,2059.345,1687.3,4.883,0.393,0.241553,665.916214,-0.0768,1.5745,0.7474,0
9,0.329,1720.65,1462.359,4.464,0.359,0.015897,209.399217,-0.3879,2.6912,0.4195,0
11,0.375,1776.972,1500.59,4.666,0.344,0.027436,267.110143,-0.3616,2.4303,0.4707,0
11,0.337,1777.112,1509.817,4.865,0.345,0.01346,222.496659,-0.5366,2.6441,0.429,0
10,0.403,1802.23,1519.753,4.7,0.329,0.03314,301.848433,-0.3342,2.3652,0.5024,0
9,0.292,1746.172,1484.913,4.488,0.302,0.010623,170.944361,-0.4459,2.6226,0.3743,0
10,0.356,1823.13,1549.855,4.665,0.374,0.020204,241.888093,-0.2681,2.4993,0.4504,0
9,0.346,1821.746,1544.096,4.9,0.351,0.014383,227.843518,-0.5144,2.5321,0.4338,0
13,0.49,1999.804,1681.915,4.688,0.367,0.06484,405.493269,-0.1639,1.9169,0.5826,0
12,0.468,1818.532,1527.953,4.744,0.38,0.062061,402.184669,-0.1752,2.2796,0.5747,1
11,0.428,1953.328,1662.231,5.263,0.323,0.037504,326.176339,-0.2063,2.1847,0.5262,1
14,0.564,2072.356,1752.063,4.759,0.369,0.134218,523.942731,-0.0294,1.8164,0.6648,0
9,0.362,1891.234,1609.995,4.536,0.308,0.021425,244.621209,-0.3004,2.3049,0.4529,0
10,0.36,1839.114,1556.429,4.759,0.334,0.021258,244.830938,-0.4056,2.4263,0.4491,0
9,0.338,1905.601,1643.341,4.356,0.238,0.018948,229.178224,-0.2787,2.4054,0.434,0
10,0.33,1917.559,1648.752,4.552,0.256,0.018514,217.228361,-0.3407,2.4152,0.4195,0
9,0.325,1896.323,1629.81,4.322,0.256,0.016348,209.614485,-0.2695,2.401,0.4156,0
15,0.525,1840.582,1534.601,4.9,0.431,0.084961,470.345677,0.0119,2.0851,0.6312,1
14,0.537,2089.326,1750.598,5.199,0.372,0.106917,466.587637,-0.2294,1.7238,0.6203,0
14,0.569,2056.116,1717.254,4.773,0.462,0.118063,513.021035,-0.0705,1.772,0.6557,1
15,0.649,2339.051,1970.106,5.019,0.309,0.178966,597.381808,-0.1295,1.4136,0.7043,1
14,0.552,2046.398,1691.846,4.729,0.373,0.085485,476.640849,-0.0387,1.6531,0.6285,0
12,0.342,1802.556,1528.564,4.567,0.341,0.015357,217.689219,-0.3681,2.4412,0.4309,1
14,0.595,2102.41,1739.745,4.717,0.359,0.139391,538.891881,-0.0542,1.6056,0.668,0
9,0.408,1810.186,1524.334,5.023,0.345,0.033319,307.479822,-0.4869,2.4267,0.5038,0
10,0.361,1796.27,1517.384,4.503,0.336,0.023519,245.752335,-0.2844,2.4088,0.451,0
10,0.343,1741.244,1480.787,4.898,0.353,0.014503,228.06928,-0.5574,2.8784,0.4366,0
12,0.339,1792.685,1513.337,4.561,0.323,0.015277,216.949731,-0.3633,2.391,0.424,0
9,0.329,1826.824,1552.355,4.66,0.333,0.016572,209.335475,-0.4719,2.5198,0.4146,0
10,0.338,1797.465,1535.709,4.542,0.336,0.01512,228.122518,-0.2774,2.638,0.4362,1
15,0.618,2182.935,1809.231,4.976,0.321,0.163449,562.269708,-0.1497,1.5143,0.6813,1
14,0.493,2004.207,1678.927,4.847,0.378,0.05889,399.773102,-0.0345,1.8628,0.5807,0
11,0.431,1858.384,1571.123,4.628,0.345,0.038131,345.58081,-0.1767,2.2758,0.5357,0
9,0.337,1797.081,1524.679,4.724,0.336,0.016229,214.794267,-0.3272,2.6161,0.425,0
11,0.404,1784.146,1513.679,4.907,0.388,0.032935,311.026612,-0.1223,2.4699,0.5143,0
12,0.474,1903.216,1600.851,4.919,0.399,0.067443,400.306348,-0.1717,2.0856,0.5775,0
